BARRI;CATEGORIA;CODIGO
EL RAVAL;No vulnerable · riesgo de calor medio;08001
EL BARRI GÒTIC;No vulnerable · riesgo de calor medio;08002
LA BARCELONETA;No vulnerable · riesgo de calor medio;08003
NOVA ESQUERRA DE L'EIXAMPLE;No vulnerable · riesgo de calor alto;08003
SANTA CATERINA I LA RIBERA;No vulnerable · riesgo de calor medio;08003
LA FONT DE LA GUATLLA;No vulnerable · riesgo de calor alto;08004
EL PARC I LA LLACUNA;No vulnerable · riesgo de calor medio;08005
EL POBLENOU;No vulnerable · riesgo de calor medio;08005
LA VILA OLÍMPICA ;No vulnerable · riesgo de calor medio;08005
LA DRETA DE L'EIXAMPLE;No vulnerable · riesgo de calor medio;08009
LA VILA DE GRÀCIA;No vulnerable · riesgo de calor medio;08012
EL FORT PIENC;No vulnerable · riesgo de calor medio;08013
HOSTAFRANCS;No vulnerable · riesgo de calor alto;08014
LA BORDETA;No vulnerable · riesgo de calor alto;08014
SANTS;No vulnerable · riesgo de calor alto;08014
SANT ANTONI;No vulnerable · riesgo de calor alto;08015
ANTIGA ESQUERRA DE L'EIXAMPLE;No vulnerable · riesgo de calor alto;08016
LA PROSPERITAT;Vulnerable · riesgo de calor medio;08016
PORTA;No vulnerable · riesgo de calor medio;08016
LES TRES TORRES;No vulnerable · riesgo de calor medio;08017
SARRIÀ;No vulnerable · riesgo de calor medio;08017
VALLVIDRERA;No vulnerable · riesgo de calor bajo;08017
EL CLOT;No vulnerable · riesgo de calor medio;08018
EL POBLE SEC;No vulnerable · riesgo de calor medio;08018
DIAGONAL MAR ;No vulnerable · riesgo de calor medio;08019
EL BESÒS I EL MARESME;Vulnerable · riesgo de calor medio;08019
LA VERNEDA I LA PAU;No vulnerable · riesgo de calor medio;08020
PROVENÇALS DEL POBLENOU;No vulnerable · riesgo de calor medio;08020
SANT MARTÍ DE PROVENÇALS;No vulnerable · riesgo de calor medio;08020
SANT GERVASI - GALVANY;No vulnerable · riesgo de calor medio;08021
SANT GERVASI - LA BONANOVA;No vulnerable · riesgo de calor medio;08022
EL COLL;No vulnerable · riesgo de calor medio;08023
EL PUTXET I EL FARRÓ;No vulnerable · riesgo de calor medio;08023
VALLCARCA I ELS PENITENTS;No vulnerable · riesgo de calor medio;08023
CAN BARÓ;No vulnerable · riesgo de calor medio;08024
EL CAMP D'EN GRASSOT ;No vulnerable · riesgo de calor medio;08024
LA SALUT;No vulnerable · riesgo de calor medio;08024
EL BAIX GUINARDÓ;No vulnerable · riesgo de calor medio;08025
LA SAGRADA FAMÍLIA;No vulnerable · riesgo de calor medio;08025
EL CAMP DE L'ARPA DEL CLOT;No vulnerable · riesgo de calor medio;08026
EL CONGRÉS I ELS INDIANS;No vulnerable · riesgo de calor medio;08027
LA SAGRERA;No vulnerable · riesgo de calor alto;08027
NAVAS;No vulnerable · riesgo de calor medio;08027
LA MATERNITAT ;No vulnerable · riesgo de calor alto;08028
LES CORTS;No vulnerable · riesgo de calor alto;08028
SANTS - BADAL;No vulnerable · riesgo de calor alto;08028
BARÓ DE VIVER;Vulnerable · riesgo de calor alto;08030
EL BON PASTOR;Vulnerable · riesgo de calor medio;08030
SANT ANDREU;No vulnerable · riesgo de calor medio;08030
CAN PEGUERA;Vulnerable · riesgo de calor medio;08031
EL TURÓ DE LA PEIRA;Vulnerable · riesgo de calor medio;08031
VILAPICINA I LA TORRE LLOBETA;No vulnerable · riesgo de calor medio;08031
EL CARMEL;Vulnerable · riesgo de calor medio;08032
HORTA;No vulnerable · riesgo de calor medio;08032
LA FONT D'EN FARGUES;No vulnerable · riesgo de calor medio;08032
CIUTAT MERIDIANA;Vulnerable · riesgo de calor medio;08033
LA TRINITAT NOVA;Vulnerable · riesgo de calor medio;08033
LA TRINITAT VELLA;Vulnerable · riesgo de calor medio;08033
TORRE BARÓ;Vulnerable · riesgo de calor medio;08033
PEDRALBES;No vulnerable · riesgo de calor medio;08034
LA CLOTA;No vulnerable · riesgo de calor medio;08035
LA TEIXONERA;No vulnerable · riesgo de calor medio;08035
LA VALL D'HEBRON;No vulnerable · riesgo de calor bajo;08035
LES ROQUETES;Vulnerable · riesgo de calor bajo;08035
MONTBAU;No vulnerable · riesgo de calor bajo;08035
SANT GENÍS DELS AGUDELLS;No vulnerable · riesgo de calor bajo;08035
LA MARINA DE PORT;No vulnerable · riesgo de calor alto;08039
EL GUINARDÓ;No vulnerable · riesgo de calor medio;08041
CANYELLES;Vulnerable · riesgo de calor bajo;08042
LA GUINEUETA;No vulnerable · riesgo de calor medio;08042
LA MARINA DEL PRAT VERMELL;Vulnerable · riesgo de calor alto;08042
VALLBONA;Vulnerable · riesgo de calor medio;08042
VERDUN;Vulnerable · riesgo de calor bajo;08042
